nama,posisi,usia,negara
Nélson Semedo,Right Back,26,Portugal
Luis Suarez,Forward,32,Uruguay
Marc-Andre ter Stegen,Goalkeeper,27,Germany
Gerard Pique,Centre Back,32,Spain
Jordi Alba,Left Back,30,Spain
Sergi Busquets,Defensive Midfielder,31,Spain
Sergi Roberto,Right Back,27,Spain
Lionel Messi,Right Wing,32,Argentina
Rafinha,Centre Midfielder,26,Spain
Ivan Rakitic,Centre Midfielder,31,Croatia
Neto,Goalkeeper,30,Brazil
Samuel Umtiti,Centre Back,26,France
Antoine Griezmann,Forward,28,France
Arturo Vidal,Centre Midfielder,32,Chile
Ousmane Dembélé,Forward,22,France
Carles Aleñá,Centre Midfielder,21,Spain
Arthur,Centre Midfielder,23,Brazil
Clément Lenglet,Centre Back,24,France
Ernesto Valverde,Manager,55,Spain
Jean-Clair Todibo,Centre Back,20,France
Frenkie de Jong,Centre Midfielder,22,Netherlands
Junior Firpo,Left Back,23,Spain
Moussa Wagué,Right Back,21,Senegal
David Concha,Forward,23,Spain
Jean Mario Dongou,Forward,24,Cameroon
