Provinsi,Jumlah Desa Menurut Provinsi dan Letak Geografi,,,,,,,,,,,
,Tepi Laut,,,,,,Bukan Tepi Laut,,,,,
,2003,2005,2008,2011,2014,2018,2003,2005,2008,2011,2014,2018
ACEH,507,660,678,761,748,723,5229,5308,5746,5722,5764,5785
SUMATERA UTARA,336,175,375,396,459,423,5043,4740,5392,5401,5645,5709
SUMATERA BARAT,80,99,102,116,127,132,795,802,822,917,1018,1143
RIAU,346,406,186,232,271,254,1279,1326,1418,1423,1564,1621
JAMBI,28,28,28,29,30,28,1161,1207,1275,1343,1521,1534
SUMATERA SELATAN,16,19,22,34,29,25,2691,2759,3057,3152,3208,3237
BENGKULU,134,157,166,182,186,184,1029,1067,1185,1327,1346,1330
LAMPUNG,170,186,203,231,241,231,1958,2005,2136,2233,2391,2423
KEP. BANGKA BELITUNG,122,105,137,163,166,160,195,216,207,198,215,231
KEP. RIAU,-,-,267,299,361,355,-,-,59,54,54,61
DKI JAKARTA,16,16,15,16,16,15,251,251,252,251,251,252
JAWA BARAT,219,193,217,217,227,221,5539,5615,5654,5688,5735,5736
JAWA TENGAH,334,334,329,347,357,355,8221,8230,8245,8230,8221,8204
DI YOGYAKARTA,30,32,33,33,33,33,408,406,405,405,405,405
JAWA TIMUR,567,571,611,655,678,655,7898,7906,7894,7847,7824,7841
BANTEN,114,123,124,131,135,133,1365,1359,1380,1404,1416,1419
BALI,150,156,167,177,175,175,536,545,545,539,541,541
NUSA TENGGARA BARAT,183,184,241,279,301,297,555,636,672,805,840,846
NUSA TENGGARA TIMUR,768,815,841,943,1011,1018,1782,1923,1962,2023,2259,2335
KALIMANTAN BARAT,130,138,153,163,161,158,1309,1392,1638,1804,1948,1979
KALIMANTAN TENGAH,40,34,41,45,44,45,1290,1317,1407,1483,1525,1531
KALIMANTAN SELATAN,135,131,135,166,165,165,1814,1828,1839,1834,1843,1843
KALIMANTAN TIMUR,131,168,179,218,175,156,1168,1176,1238,1247,851,882
KALIMANTAN UTARA,-,-,-,-,55,56,-,-,-,-,424,426
SULAWESI UTARA,456,509,627,721,778,783,740,760,867,972,1058,1055
SULAWESI TENGAH,684,770,839,901,1021,1011,756,760,847,914,965,1009
SULAWESI SELATAN,547,547,485,504,531,527,2537,2739,2461,2478,2499,2522
SULAWESI TENGGARA,590,658,771,813,947,954,974,1027,1257,1308,1325,1400
GORONTALO,82,110,136,191,203,201,294,340,448,540,533,533
SULAWESI BARAT,-,-,122,148,152,152,-,-,414,490,496,498
MALUKU,708,733,772,859,914,1064,128,140,134,165,174,176
MALUKU UTARA,551,568,772,856,941,934,190,213,264,223,255,262
PAPUA BARAT,-,-,416,536,543,572,-,-,789,903,1024,1415
PAPUA,846,827,474,522,646,662,2661,2512,2837,3402,4225,4890
INDONESIA,9020,9452,10664,11884,12827,12857,59796,60505,64746,66725,69363,71074
